Environmental samples with the highest # of high quality sars-cov-2 reads.,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Stall,Nearest human case,Onset by (bracketed),,,,,,,,,,,,,,,,,,,,,,
A20,7-15*17,In stall (suspected),12/15(suspected),,Excluded in bloom plots,,,,,,,,,,,,,,,,,,,,
F13,11-15,In stall,12/31,,Excluded in bloom plots,,,,,,,,,,,,,,,,,,,,
F54,2-14,In stall,12/10,,Excluded in bloom plots,,,,,,,,,,,,,,,,,,,,
F100,4-X6*X4,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
B5,5-6*8,In stall,12/20,,,,,,,,,,,,,,,,,,,,,,
B17,15-X44,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
D32,15-X15,In stall,12/20,,,,,,,,,,,,,,,,,,,,,,
A15,4-26,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
F98,4-X6*X4,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
A61,7-20*22*24,? 7-15*17 (suspected) 7-26*28 ,? 12/15(suspected) 12/31,,,,,,,,,,,,,,,,,,,,,,
A18,7-15*17,In stall (suspected),12/15(suspected),,,,,,,,,,,,,,,,,,,,,,
A55,7-25,? 7-26*28,? 12/31,,,,,,,,,,,,,,,,,,,,,,
F46,2-24,?,?,,,,,,,,,,,,,,,,,,,,,,
A87,4-28,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
E7,2-5,?,?,,,,,,,,,,,,,,,,,,,,,,
A101,4-19,?,?,,,,,,,,,,,,,,,,,,,,,,
A2,7-15*17,In stall (suspected),12/15(suspected),,,,,,,,,,,,,,,,,,,,,,
A63,7-16*18,? 7-15*17 (suspected),? 12/15(suspected),,,,,,,,,,,,,,,,,,,,,,
RLC3,Warehouse 8-25,? 8-25 warehouse,?,,,,,,,,,,,,,,,,,,,,,,
E61,East 6-1*3,?,?,,,,,,,,,,,,,,,,,,,,,,
A33,West 7 street garbage can,,,,,,,,,,,,,,,,,,,,,,,,
A88,4-28,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
A90,4-26,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
Q68,6-29-31-33,? raccoon dog stall,?,,,,,,,,,,,,,,,,,,,,,,
Q37,8-25,? 8-26*28 (suspected) 7-26*28,? 12/15(suspected) 12/31,,,,,,,,,,,,,,,,,,,,,,
8-25-M1,8-25,? 8-26*28 (suspected) 7-26*28,? 12/15(suspected) 12/31,,,,,,,,,,,,,,,,,,,,,,
Q64,6-29-31-33,? raccoon dog stall,?,,,,,,,,,,,,,,,,,,,,,,
SJ-D,warehouse 8-25,? 8-25 warehouse,?,,,,,,,,,,,,,,,,,,,,,,
E48,East 9-22,?,?,,,,,,,,,,,,,,,,,,,,,,
CSSQ-1-3,Sewage well surrounding area,,,,,,,,,,,,,,,,,,,,,,,,
WWS-2#-2,West sewer,,,,,,,,,,,,,,,,,,,,,,,,
Q69,6-29-31-33,? raccoon dog stall,?,,,,,,,,,,,,,,,,,,,,,,
A14,4-26,In stall,12/31,,,,,,,,,,,,,,,,,,,,,,
Q70,6-29-31-33,? raccoon dog stall,?,,,,,,,,,,,,,,,,,,,,,,
A96,4-24,? 4-26,? 12/31,,,,,,,,,,,,,,,,,,,,,,
Q61,6-29-31-33,? raccoon dog stall,?,,,,,,,,,,,,,,,,,,,,,,
