Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Alphacarmovirus,56.290 ,10.541 ,1.244 ,8.473 ,2.40E-17,2.01E-15,Viruses>Riboviria>Orthornavirae>Kitrinoviricota>Tolucaviricetes>Tolivirales>Tombusviridae>Procedovirinae
Pseudorasbora,10.000 ,9.916 ,1.281 ,7.741 ,9.90E-15,6.12E-13,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Gobionidae>Sarcocheilichthyinae
Desulfobotulus,8.460 ,9.133 ,3.058 ,2.986 ,2.82E-03,1.20E-02,Bacteria>Proteobacteria>delta/epsilon subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae
Moramonas,20.689 ,8.425 ,1.234 ,6.827 ,8.70E-12,2.78E-10,Eukaryota>Discoba>Jakobida>Histionina
Psychrilyobacter,141.479 ,7.070 ,1.004 ,7.043 ,1.88E-12,6.89E-11,Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae
Sarcinofilum,14.933 ,6.888 ,1.005 ,6.855 ,7.11E-12,2.35E-10,Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>OUU clade>Ulotrichales>Sarcinofilaceae
Brumimicrobium,8.809 ,6.858 ,1.546 ,4.437 ,9.13E-06,9.03E-05,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Crocinitomicaceae
Ruditapes,18.574 ,6.823 ,0.900 ,7.585 ,3.32E-14,1.82E-12,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Bivalvia>Autobranchia>Heteroconchia>Euheterodonta>Imparidentia>Venerida>Veneroidea>Veneridae
Bernardetia,6753.424 ,6.632 ,0.478 ,13.879 ,8.54E-44,1.07E-40,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Bernardetiaceae
Hypophthalmichthys,345.001 ,6.568 ,0.546 ,12.026 ,2.58E-33,1.22E-30,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Xenocyprididae>Xenocypridinae
Siniperca,79.205 ,6.561 ,0.730 ,8.989 ,2.50E-19,2.85E-17,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Centrarchiformes>Centrarchoidei>Sinipercidae
Culter,28.870 ,6.514 ,0.878 ,7.415 ,1.22E-13,6.03E-12,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Xenocyprididae>Xenocypridinae
Bergeyella,1297.411 ,6.504 ,0.462 ,14.071 ,5.76E-45,1.08E-41,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae
