Genus,Env_0002b,Env_0014,Env_0015,Env_0018,Env_0020,Env_0033,Env_0055,Env_0061,Env_0063,Env_0087,Env_0088,Env_0090,Env_0096,Env_0101,Env_0126,Env_0138,Env_0213,Env_0221,Env_0262,Env_0275,Env_0313,Env_0346,Env_0354,Env_0398,Env_0400,Env_0552,Env_0576,Env_0579,Env_0583,Env_0584,Env_0585,Env_0660,Env_0664,Env_0682,Env_0686,Env_0717,Env_0719,Env_0742,Env_0746,Env_0748,Env_0790,Env_0802,Env_0806,Env_0807,Env_0808,Env_0809,Env_0813,Env_0815,Env_0816,Env_0817,Env_0818,Env_0820,Env_0821,Env_0828,Env_0829,Env_0830,Env_0862,Env_0865,Env_0868,Env_0516,Env_0517,Env_0518,Env_0519,Env_0520,Env_0521,Env_0522,Env_0523,Env_0524,Env_0525,Env_0526,Env_0527,Env_0528,Env_0529,Env_0530,Env_0531,Env_0532,Env_0533,Env_0534,Env_0535,Env_0536,Env_0537,Env_0538,Env_0539,Env_0540,Env_0541,Env_0542,Env_0543,Env_0544,Env_0545,Env_0546,Env_0547,Env_0548,Env_0549,Env_0550,Env_0551,Env_0553,Env_0554,Env_0555,Env_0556,Env_0557,Env_0558,Env_0559,Env_0560,Env_0561,Env_0562,Env_0563,Env_0564,Env_0565,Env_0566,Env_0567,Env_0568,Env_0569,Env_0570,Env_0571,Env_0572,Env_0573,Env_0574,Env_0575,Env_0577,Env_0578,Env_0580,Env_0581,Env_0582,Env_0617,Env_0619,Env_0620,Env_0642,Env_0643,Env_0657,Env_0674,Env_0697,Env_0701,Env_0705,Env_0707,Env_0708,Env_0712,Env_0714,Env_0715,Env_0716,Env_0720,Env_0749,Env_0751,Env_0753,Env_0754,Env_0756,Env_0759,Env_0768,Env_0770,Env_0788,Env_0789,Env_0798,Env_0799,Env_0800,Env_0801,Env_0839,Env_0842,Env_0847,Env_0856,Env_0858,Env_0873,Env_0875,Env_0877,Env_0879,Env_0882,Env_0885,Env_0887,Env_0889,Env_0893,Env_0895,Env_0907,Env_0909
Gallus,127,3,36,111,0,34867,31439,520,34,701,46,21,46,364,172,96,875,664,2,0,6,13,9,9,2,174,1315,271,237,67,81,0,0,0,0,2,19,17,0,0,0,4,318,224,36,56,1,1,62,26,38,0,3,7,5,47,14,0,143,47,4,171,41,174,67,380,159,31,183,158,778,1,107,37,23,21,15,70,18,142,13,288,101,55,149,47,11,1,1449,32,36,11,11,66,4,149,15,99,420,2,72,34,700,409,65,47,22,30,2231,1435,11885,3129,780,4205,4531,156723,28511,3360,36,52,294,150,4617,0,4,1522,0,0,118,0,2,147,53,111,212,222,1,0,17,35,0,4,0,216,0,6,4,0,0,5,0,0,5,13,0,0,0,0,0,2,6,100,0,6,0,30,0,2,18,0,2
Homo,29,8,118,250,1,10,385,125,66,251,24,17,45,1312,283,841,3008,1435,20,12,91,15,8,143,5,437,24,33,148,18,15,0,2,0,74,0,2,38,22,45,137,109,162,68,28,41,7,22,69,47,107,7,13,0,3,116,4,0,1348,55,1,79,56,111,16,50,125,22,292,120,55,5,3,10,9,5,11,21,28,46,12,14,10,10,26,20,6,2,69,1880,38,14,107,70,24,74,11,102,7,6,24,7,26,16,17,9,3,4,114,5,138,11,7,5,57,12,311,38,14,33,59,15,8,869,656,3157,175,60,2,2,165,75,0,2,2,2,4,0,4,387,27,46,67,32,0,19,26,8,37,54,32,28,180,108,0,22,10,0,0,0,0,4,0,4,0,15,3,1,0,1,0
Anas,48,4,4,67,0,852,25924,235,23,271,86,3,8,275,43,6,219,443,0,0,0,6,2,20,0,94,12528,156,105,9,31,0,0,0,0,0,0,17,3,0,0,1,37,11,6,10,0,0,7,4,17,0,0,12,3,33,4,0,176,5,2,271,46,1927,20,585,70,77,104,234,222,32,401,53,219,3,50,235,233,121,28,252,322,153,221,1436,326,129,1425,5,1,6,7,2,2,5,5,25,144,4,34,259,91,225,51,194,47,167,148,1998,1255,725,50,551,872,85,435,195,45,47,170,62,7,0,6,206,0,0,56,0,0,4,16,52,136,26,0,2,4,4,2,0,0,206,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,18,101,54,6,25,81,10,0,67,0,0
Lariscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833,1298,43,49,100,191,0,0,0,0,0,0,0,0,0,0,0,491,2820,323,566,20,24,6,5,11,8,61,14,7,13,0,0,458,82,3,227,496,758,272,369,275,210,317,67,348,7,105,162,18,27,37,223,8,49,149,245,348,12,402,944,36,10,215,1377,59,118,521,801,263,602,1148,8188,157,156,106,236,1685,95,109,613,34,85,55,104,152,35,14,62,198,927,564,59,1756,93,625,300,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coturnix,18,0,0,12,0,4776,4213,75,4,81,12,1,7,14,15,23,20,141,0,0,0,1,0,0,0,17,129,30,44,2,8,0,0,0,0,2,0,0,0,0,0,0,78,314,26,23,0,0,4,3,5,0,0,0,1,8,8,2,667,58,36,172,63,64,72,5638,567,91,587,40,32,6,42,19,12,3,5,189,29,20,5,17,63,21,42,48,40,7,126,8,1,1,0,14,4,23,3,8,9,2,5,14,31,94,13,24,9,35,46,150,341,58,23,74,153,1694,749,76,3,9,15,5,56,0,0,163,0,0,62,0,0,4,1,21,46,4,0,2,1,5,0,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,48,0,14,43,335,2,0,269,0,2
Aves,20,4,0,4,0,2248,1602,36,10,73,3,2,4,36,23,3,32,61,26,0,0,1,0,0,0,55,317,45,101,16,12,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,28,2,1,43,49,151,57,322,29,33,37,39,52,10,63,61,34,4,20,594,82,23,10,29,367,39,83,100,65,31,233,2,1,3,0,1,0,6,0,5,24,24,7,28,70,201,20,28,10,35,43,380,560,98,27,110,113,1498,658,122,6,14,15,9,56,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,21,0,9,71,344,6,1,239,0,0
Sus,24,4,8,52,0,52,310,2884,13,129,0,11,16,277,148,98,492,330,991,29,2,2,10,51,4,22,51,30,18,5,77,0,0,0,0,0,2,0,6,22,0,0,42,16,4,47,176,40,31,22,40,0,8,1,0,39,0,0,292,2,0,25,8,4604,8,38,33,15,17,14,39,0,2,5,108,3,1,8,5,39,2,10,11,4,21,1,0,19,37,123,8,1,9,7,0,8,4,10,2,17,2,24,35,1272,3,12,368,14,30,669,339,3,3,8,55,3,14,72,24,6,29,14,0,3,0,0,0,0,2,1,434,100,0,0,3,2,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,20,7,2,5,0,0,0,2,2
Tadorna,9,1,4,19,0,266,10977,91,8,112,24,3,10,130,14,6,78,167,2,0,4,2,0,4,0,30,4768,48,34,6,9,0,0,0,0,0,0,7,1,0,0,2,13,8,3,3,0,0,2,1,3,0,0,6,0,16,0,0,62,4,0,95,21,725,9,214,31,31,35,87,67,8,162,19,83,1,22,112,68,36,12,92,93,60,79,489,123,59,504,5,0,1,1,1,0,2,0,10,50,2,11,63,43,86,18,66,16,63,55,724,437,288,14,180,348,44,158,81,14,19,64,8,3,0,0,73,0,0,30,0,0,0,9,21,79,8,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,14,2,8,20,6,0,6,0,0
Alcelaphus,1,2,0,14,0,24,1,5,1,0,0,0,15,15,2,12,59,12,3,1,0,0,0,17,0,8,7,19,53,17,18,0,0,0,14,0,6,0,1,0,0,0,103,64,31,115,88,70,213,72,274,92,31,89,558,15,0,0,183,15,110,29,52,16,23,3,38,9,76,1,6,776,11,336,18,12,54,1,1,32,8,1,4,21,17,1,6,23,19,15,18,41,0,8,37,5,76,40,1,107,9,74,26,31,60,9,9,6,118,56,68,26,49,16,5,9,8,34,15,151,3,22,21,0,0,0,54,9,4,1,3,7,34,67,86,56,2,0,0,6,0,3,0,0,0,15,119,2,0,0,0,0,0,5,4,6,0,0,3,0,0,0,0,0,0,0,2,0,0,19,0
Sorex,12,3,0,12,0,5,24,35,1,25,1,3,0,42,101,7,75,19,399,1,0,0,0,14,0,43,310,28,25,181,82,0,0,1,0,0,1,0,0,0,0,0,6,19,2,7,2,1,2,1,2,1,2,1,4,1,0,0,20,14,0,45,43,226,110,110,114,15,51,33,109,1,90,7,12,18,2,55,3,8,3,38,12,3,10,12,5,3,25,242,0,3,2,8,1,11,3,31,9,20,4,9,13,97,9,82,9,37,6,28,65,5,1,13,17,228,156,14,41,17,68,32,15,0,0,0,0,1,0,0,8,4,0,0,2,2,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,9,5,14,7,89,0,0,13,0,0
