Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Gallus,1.000,1.023,0.513,2.051
Homo,0.015,2.248,1.114,4.631
Anas,0.036,0.494,0.240,0.995
Lariscus,0.001,0.310,0.138,0.662
Coturnix,0.061,0.484,0.219,1.027
Aves,0.062,0.502,0.227,1.066
Sus,0.000,3.963,1.882,8.493
Tadorna,0.041,0.472,0.209,1.016
Alcelaphus,1.000,0.957,0.446,2.007
Sorex,1.000,0.985,0.423,2.212
Canis,0.287,0.665,0.291,1.452
Amaurornis,0.215,0.614,0.270,1.335
Phasianus,0.000,0.182,0.059,0.472
Bos,0.000,4.600,2.088,10.394
Columba,0.020,0.394,0.160,0.899
Microryzomys,0.000,0.160,0.046,0.441
Rupicapra,0.000,0.195,0.063,0.508
Rattus,0.851,0.897,0.387,1.998
Spilopelia,0.002,0.260,0.091,0.647
Casuarius,0.278,0.651,0.278,1.449
Nyctereutes,0.000,0.073,0.008,0.303
Rhizomys,0.001,0.193,0.047,0.588
Glis,0.192,0.482,0.150,1.323
Oryctolagus,0.105,0.446,0.153,1.145
Lepus,0.053,0.355,0.100,1.023
Ovis,0.000,5.092,2.143,12.631
Martes,0.242,0.497,0.137,1.484
Neomys,1.000,0.942,0.277,2.851
Dacelo,0.093,0.434,0.136,1.180
Crocidura,0.634,0.693,0.210,1.989
Eliomys,1.000,0.953,0.308,2.681
Felis,0.634,0.744,0.224,2.158
Panthera,0.428,1.496,0.455,4.659
Apodemus,0.215,0.445,0.104,1.463
Elephas,0.437,1.571,0.513,4.611
Capra,0.003,4.414,1.593,13.101
Erinaceus,0.808,1.201,0.407,3.318
Muntiacus,0.793,0.770,0.204,2.464
Mus,0.587,0.605,0.137,2.088
Anser,0.080,0.307,0.055,1.122
Microtus,0.390,0.488,0.085,1.916
Psittacus,0.081,0.328,0.059,1.210
Cairina,0.793,0.770,0.204,2.464
Axis,0.001,10.658,2.095,105.075
Arctonyx,0.148,0.292,0.031,1.364
Dryomys,0.507,0.438,0.045,2.223
Streptopelia,0.023,0.132,0.003,0.913
Vulpes,0.037,0.144,0.003,1.005
Bubalus,0.015,11.014,1.190,531.571
Gallinula,0.149,0.320,0.034,1.515
Myodes,0.665,0.402,0.008,3.717
Muscardinus,0.665,0.402,0.008,3.717
Praomys,0.275,0.282,0.006,2.286
Ursus,0.429,0.332,0.007,2.842
Paradoxurus,0.720,0.573,0.056,3.148
Prionailurus,0.665,0.402,0.008,3.717
Ailurus,0.507,0.438,0.045,2.223
Anourosorex,1.000,1.027,0.017,20.134
Arvicola,0.429,0.332,0.007,2.842
Suncus,1.000,0.506,0.010,5.277
Mammalia,0.477,1.687,0.321,8.198
Myotis,0.730,1.395,0.277,6.174
Hylomyscus,0.663,1.380,0.112,12.415
Hylobatidae,0.039,5.478,0.862,59.368
Hemiechinus,1.000,1.028,0.160,5.040
Manis,0.395,2.103,0.273,16.227
Mustela,0.005,13.475,1.572,632.443
Semnopithecus,0.429,0.332,0.007,2.842
Rodentia,0.718,1.244,0.186,6.669
Talpa,0.327,Inf,0.053,Inf
Rusa,0.001,Inf,2.572,Inf
Ara,0.718,1.244,0.186,6.669
Equus,0.395,2.103,0.273,16.227
Lichmera,0.275,0.282,0.006,2.286
Trachypithecus,0.250,4.183,0.213,250.824
Mareca,1.000,0.816,0.075,5.182
Arborophila,0.097,0.000,0.000,1.396
Odocoileus,0.015,11.014,1.190,531.571
Nephelomys,0.552,0.000,0.000,4.977
Bambusicola,0.179,0.000,0.000,1.721
Nannospalax,0.598,2.083,0.147,29.443
Mammuthus,0.332,3.174,0.353,39.059
Ziphius,0.011,Inf,1.398,Inf
Aythya,0.665,0.402,0.008,3.717
Accipiter,0.179,0.000,0.000,1.721
Geotrygon,0.665,0.402,0.008,3.717
Microcebus,0.665,0.402,0.008,3.717
Platycercus,0.174,0.000,0.000,2.224
Akodon,0.304,0.000,0.000,3.104
Aratinga,1.000,0.506,0.010,5.277
Francolinus,0.174,0.000,0.000,2.224
Marmosa,1.000,0.506,0.010,5.277
Mogera,1.000,0.680,0.013,8.695
Lasiurus,1.000,0.506,0.010,5.277
Sibirionetta,1.000,0.506,0.010,5.277
Cheirogaleus,1.000,0.680,0.013,8.695
Anseriformes,0.663,1.380,0.112,12.415
Falco,1.000,0.506,0.010,5.277
Meles,1.000,0.000,0.000,79.990
Chionomys,0.327,Inf,0.053,Inf
Marmota,0.598,2.083,0.147,29.443
Balaenoptera,1.000,0.000,0.000,10.959
Hyaena,1.000,0.000,0.000,79.990
Loxodonta,0.034,Inf,0.863,Inf
Typhlomys,1.000,0.680,0.013,8.695
Ectopistes,0.304,0.000,0.000,3.104
Mastomys,1.000,0.000,0.000,79.990
